event_name,participant_id,task,time,mode,interaction_group
attempts,b921af4bc0,9,1656281003,Balanced,High interaction
complete,b921af4bc0,9,1656281004,Balanced,High interaction
start,1149e54fb3,1,1656499256,Advanced,Low interaction
attempts,1149e54fb3,1,1656499310,Basic,Low interaction
complete,1149e54fb3,1,1656499311,Basic,Low interaction
start,1149e54fb3,2,1656499311,Basic,Low interaction
attempts,1149e54fb3,2,1656499365,Balanced,Low interaction
complete,1149e54fb3,2,1656499366,Balanced,Low interaction
attempts,1149e54fb3,3,1656499396,Basic,Low interaction
attempts,1149e54fb3,3,1656499401,Advanced,Low interaction
start,1149e54fb3,3,1656499366,Balanced,Low interaction
attempts,1149e54fb3,3,1656499406,Advanced,Low interaction
complete,1149e54fb3,3,1656499407,Advanced,Low interaction
start,1149e54fb3,4,1656499407,Advanced,Low interaction
attempts,1149e54fb3,4,1656499459,Advanced,Low interaction
complete,1149e54fb3,4,1656499460,Advanced,Low interaction
start,1149e54fb3,5,1656499460,Basic,Low interaction
attempts,1149e54fb3,5,1656499480,Advanced,Low interaction
complete,1149e54fb3,5,1656499481,Advanced,Low interaction
start,1149e54fb3,6,1656499481,Balanced,Low interaction
attempts,1149e54fb3,6,1656499531,Advanced,Low interaction
complete,1149e54fb3,6,1656499532,Advanced,Low interaction
start,1149e54fb3,7,1656499532,Advanced,Low interaction
attempts,1149e54fb3,7,1656499570,Balanced,Low interaction
complete,1149e54fb3,7,1656499571,Balanced,Low interaction
start,1149e54fb3,8,1656499571,Basic,Low interaction
attempts,1149e54fb3,8,1656499630,Balanced,Low interaction
complete,1149e54fb3,8,1656499631,Balanced,Low interaction
attempts,1149e54fb3,9,1656499646,Basic,Low interaction
start,1149e54fb3,9,1656499631,Balanced,Low interaction
attempts,1149e54fb3,9,1656499657,Balanced,Low interaction
complete,1149e54fb3,9,1656499658,Balanced,Low interaction
start,56e03569f6,1,1656396875,Advanced,Low interaction
attempts,56e03569f6,1,1656397002,Advanced,Low interaction
complete,56e03569f6,1,1656397003,Advanced,Low interaction
start,56e03569f6,2,1656397003,Basic,Low interaction
attempts,56e03569f6,2,1656397114,Advanced,Low interaction
complete,56e03569f6,2,1656397115,Advanced,Low interaction
start,56e03569f6,3,1656397115,Balanced,Low interaction
attempts,56e03569f6,3,1656397240,Balanced,Low interaction
complete,56e03569f6,3,1656397241,Balanced,Low interaction
start,56e03569f6,4,1656397241,Advanced,Low interaction
attempts,56e03569f6,4,1656397316,Advanced,Low interaction
complete,56e03569f6,4,1656397317,Advanced,Low interaction
start,56e03569f6,5,1656397317,Basic,Low interaction
attempts,56e03569f6,5,1656397332,Balanced,Low interaction
skip,56e03569f6,5,1656397333,Balanced,Low interaction
start,56e03569f6,6,1656397333,Balanced,Low interaction
attempts,56e03569f6,6,1656397457,Advanced,Low interaction
skip,56e03569f6,6,1656397458,Advanced,Low interaction
start,56e03569f6,7,1656397458,Advanced,Low interaction
attempts,56e03569f6,7,1656397523,Advanced,Low interaction
complete,56e03569f6,7,1656397524,Advanced,Low interaction
start,56e03569f6,8,1656397524,Basic,Low interaction
attempts,56e03569f6,8,1656397648,Balanced,Low interaction
complete,56e03569f6,8,1656397649,Balanced,Low interaction
start,56e03569f6,9,1656397649,Balanced,Low interaction
attempts,56e03569f6,9,1656397760,Advanced,Low interaction
skip,56e03569f6,9,1656397761,Advanced,Low interaction
start,b95fb9a63f,1,1656471577,Balanced,Low interaction
attempts,b95fb9a63f,1,1656471627,Advanced,Low interaction
complete,b95fb9a63f,1,1656471628,Advanced,Low interaction
start,b95fb9a63f,2,1656471628,Advanced,Low interaction
attempts,b95fb9a63f,2,1656471672,Advanced,Low interaction
complete,b95fb9a63f,2,1656471673,Advanced,Low interaction
start,b95fb9a63f,3,1656471673,Basic,Low interaction
attempts,b95fb9a63f,3,1656471724,Advanced,Low interaction
complete,b95fb9a63f,3,1656471725,Advanced,Low interaction
attempts,b95fb9a63f,4,1656471728,Advanced,Low interaction
attempts,b95fb9a63f,4,1656471770,Advanced,Low interaction
start,b95fb9a63f,4,1656471725,Balanced,Low interaction
attempts,b95fb9a63f,4,1656471769,Balanced,Low interaction
complete,b95fb9a63f,4,1656471770,Balanced,Low interaction
start,b95fb9a63f,5,1656471770,Advanced,Low interaction
attempts,b95fb9a63f,5,1656471808,Advanced,Low interaction
complete,b95fb9a63f,5,1656471809,Advanced,Low interaction
start,b95fb9a63f,6,1656471809,Basic,Low interaction
attempts,b95fb9a63f,6,1656471845,Balanced,Low interaction
complete,b95fb9a63f,6,1656471846,Balanced,Low interaction
start,b95fb9a63f,7,1656471846,Balanced,Low interaction
attempts,b95fb9a63f,7,1656471863,Advanced,Low interaction
complete,b95fb9a63f,7,1656471864,Advanced,Low interaction
attempts,b95fb9a63f,8,1656471905,Balanced,Low interaction
start,b95fb9a63f,8,1656471864,Advanced,Low interaction
attempts,b95fb9a63f,8,1656471920,Advanced,Low interaction
complete,b95fb9a63f,8,1656471921,Advanced,Low interaction
start,b95fb9a63f,9,1656471921,Basic,Low interaction
attempts,b95fb9a63f,9,1656471968,Advanced,Low interaction
complete,b95fb9a63f,9,1656471969,Advanced,Low interaction
start,399c9d5e13,1,1656494863,Balanced,No interaction
attempts,399c9d5e13,1,1656494944,Balanced,No interaction
complete,399c9d5e13,1,1656494945,Balanced,No interaction
start,399c9d5e13,2,1656494945,Basic,No interaction
attempts,399c9d5e13,2,1656495025,Basic,No interaction
complete,399c9d5e13,2,1656495026,Basic,No interaction
start,399c9d5e13,3,1656495026,Advanced,No interaction
attempts,399c9d5e13,3,1656495074,Advanced,No interaction
complete,399c9d5e13,3,1656495075,Advanced,No interaction
start,399c9d5e13,4,1656495075,Balanced,No interaction
